I,Set2,Set3,Set4,Set5,Set6,Set7
1,0.0128,9505.245567,588.9222333,226.3389,27.8289,7631.265,2078.5325
2,0.0064,9577.0689,588.4422333,218.3389,33.31223333,7620.26,2065.0475
3,0.0016,8455.252233,555.5989,222.0789,48.42223333,6949.315,1811.2325
4,4e-04,6618.845567,380.6922333,169.6689,41.8089,4958.4525,1291.5325
5,1e-04,2306.582233,179.2455667,73.7789,47.20223333,1675.52,434.48
6,2.5e-05,243.2422333,69.68223333,32.8589,38.40223333,129.735,33.9025
7,6.25e-06,94.31223333,74.9889,15.3789,21.9289,22.0575,41.115
8,1.5625e-06,66.67556667,87.2589,29.2689,65.28223333,21.67,27.9125
9,3.91e-07,77.43556667,83.02223333,42.31556667,45.89556667,46.07,20.4275
10,9.77e-08,64.3889,49.83556667,30.3689,37.15556667,33.1725,11.4375
