rep,I1,I2,O
1,set1,0,0,226.5444433
2,set1,2.4e-05,0,2613.714443
3,set1,9.8e-05,0,7433.11111
4,set1,0.00039,0,10163.42778
5,set1,0.0016,0,10347.39778
6,set1,0.0063,0,10581.43444
7,set1,0.025,0,10353.90111
8,set1,0.1,0,11324.71111
9,set1,0,3.3e-07,617.56111
10,set1,2.4e-05,3.3e-07,4022.36111
11,set1,9.8e-05,3.3e-07,8008.577777
12,set1,0.00039,3.3e-07,9399.454443
13,set1,0.0016,3.3e-07,10110.82111
14,set1,0.0063,3.3e-07,9721.604443
15,set1,0.025,3.3e-07,10313.53444
16,set1,0.1,3.3e-07,11114.59778
17,set1,0,1.3e-06,1900.694443
18,set1,2.4e-05,1.3e-06,5418.57111
19,set1,9.8e-05,1.3e-06,9128.26111
20,set1,0.00039,1.3e-06,10704.30111
21,set1,0.0016,1.3e-06,9756.794443
22,set1,0.0063,1.3e-06,9926.824443
23,set1,0.025,1.3e-06,10507.21444
24,set1,0.1,1.3e-06,10686.50111
25,set1,0,5.2e-06,5081.84111
26,set1,2.4e-05,5.2e-06,7569.737777
27,set1,9.8e-05,5.2e-06,9686.254443
28,set1,0.00039,5.2e-06,9885.91111
29,set1,0.0016,5.2e-06,9800.054443
30,set1,0.0063,5.2e-06,9606.354443
31,set1,0.025,5.2e-06,9713.964443
32,set1,0.1,5.2e-06,10971.22778
33,set1,0,2.1e-05,6676.314443
34,set1,2.4e-05,2.1e-05,8254.20111
35,set1,9.8e-05,2.1e-05,9888.28111
36,set1,0.00039,2.1e-05,10061.03444
37,set1,0.0016,2.1e-05,10066.62444
38,set1,0.0063,2.1e-05,9567.46111
39,set1,0.025,2.1e-05,9936.31111
40,set1,0.1,2.1e-05,10990.87444
41,set1,0,8.3e-05,6510.43111
42,set1,2.4e-05,8.3e-05,8436.02111
43,set1,9.8e-05,8.3e-05,10056.34778
44,set1,0.00039,8.3e-05,9863.36111
45,set1,0.0016,8.3e-05,10106.41444
46,set1,0.0063,8.3e-05,9746.634443
47,set1,0.025,8.3e-05,10730.76111
48,set1,0.1,8.3e-05,10904.50444
49,set1,0,0.00033,6484.727777
50,set1,2.4e-05,0.00033,8486.987777
51,set1,9.8e-05,0.00033,10626.02444
52,set1,0.00039,0.00033,10829.27444
53,set1,0.0016,0.00033,10760.03444
54,set1,0.0063,0.00033,11210.49778
55,set1,0.025,0.00033,9995.537777
56,set1,0.1,0.00033,10392.73111
57,set1,0,0.0013,6350.19111
58,set1,2.4e-05,0.0013,8885.507777
59,set1,9.8e-05,0.0013,10525.04778
60,set1,0.00039,0.0013,11225.92444
61,set1,0.0016,0.0013,11077.57778
62,set1,0.0063,0.0013,10710.90111
63,set1,0.025,0.0013,11180.40778
64,set1,0.1,0.0013,10591.48778
