rep,R,S,O
1,set1,7.6627,16.77,0.000210100472431321
2,set1,8.10004947587421,16.77,0.000239772221048707
3,set1,10.3313851159571,16.77,0.00042780702582748
4,set1,23.0334402530371,16.77,0.00287285810866727
5,set1,94.5048791343356,16.77,0.0720113850270985
6,set1,433.469283065644,16.77,0.455414210938461
7,set1,1260.25076737027,16.77,0.52591671149118
8,set1,1872.60528819368,16.77,0.530201996308194
9,set1,7.6627,17.542809336667,0.000228206625104386
10,set1,8.10004947587421,17.542809336667,0.000260435441796519
11,set1,10.3313851159571,17.542809336667,0.000464674812151829
12,set1,23.0334402530371,17.542809336667,0.00312043683574789
13,set1,94.5048791343356,17.542809336667,0.0782172212939627
14,set1,433.469283065644,17.542809336667,0.494661144261903
15,set1,1260.25076737027,17.542809336667,0.571239447615387
16,set1,1872.60528819368,17.542809336667,0.575894032035807
17,set1,7.6627,21.5090568202478,0.000331704999032771
18,set1,8.10004947587421,21.5090568202478,0.000378550525996772
19,set1,10.3313851159571,21.5090568202478,0.000675418419797719
20,set1,23.0334402530371,21.5090568202478,0.00453564613696082
21,set1,94.5048791343356,21.5090568202478,0.11369101708503
22,set1,433.469283065644,21.5090568202478,0.719004429884055
23,set1,1260.25076737027,21.5090568202478,0.83031323184447
24,set1,1872.60528819368,21.5090568202478,0.83707880633192
25,set1,7.6627,46.3759494590185,0.00135798570357022
26,set1,8.10004947587421,46.3759494590185,0.00154976923435458
27,set1,10.3313851159571,46.3759494590185,0.0027651333585198
28,set1,23.0334402530371,46.3759494590185,0.0185687361613679
29,set1,94.5048791343356,46.3759494590185,0.465446032697795
30,set1,433.469283065644,46.3759494590185,2.94357257030589
31,set1,1260.25076737027,46.3759494590185,3.39926591886721
32,set1,1872.60528819368,46.3759494590185,3.42696388379745
33,set1,7.6627,202.171609407009,0.0201189326804482
34,set1,8.10004947587421,202.171609407009,0.0229602585757982
35,set1,10.3313851159571,202.171609407009,0.0409662132276231
36,set1,23.0334402530371,202.171609407009,0.275100946798918
37,set1,94.5048791343356,202.171609407009,6.89571132715859
38,set1,433.469283065644,202.171609407009,43.6098393571458
39,set1,1260.25076737027,202.171609407009,50.3610619793941
40,set1,1872.60528819368,202.171609407009,50.7714149679065
41,set1,7.6627,1080.13710332611,0.384048488621984
42,set1,8.10004947587421,1080.13710332611,0.43828630198532
43,set1,10.3313851159571,1080.13710332611,0.782000343881269
44,set1,23.0334402530371,1080.13710332611,5.25137712396023
45,set1,94.5048791343356,1080.13710332611,131.631610644157
46,set1,433.469283065644,1080.13710332611,832.464284272671
47,set1,1260.25076737027,1080.13710332611,961.337763080259
48,set1,1872.60528819368,1080.13710332611,969.170954211359
49,set1,7.6627,4636.06693432619,2.08209091117517
50,set1,8.10004947587421,4636.06693432619,2.37613726623574
51,set1,10.3313851159571,4636.06693432619,4.2395579120054
52,set1,23.0334402530371,4636.06693432619,28.4699586247113
53,set1,94.5048791343356,4636.06693432619,713.631190501341
54,set1,433.469283065644,4636.06693432619,4513.14448959624
55,set1,1260.25076737027,4636.06693432619,5211.82266921776
56,set1,1872.60528819368,4636.06693432619,5254.2897444511
57,set1,7.6627,9999.44324554875,2.76817920429902
58,set1,8.10004947587421,9999.44324554875,3.15911938890373
59,set1,10.3313851159571,9999.44324554875,5.63657234390922
60,set1,23.0334402530371,9999.44324554875,37.8513478874453
61,set1,94.5048791343356,9999.44324554875,948.786150730555
62,set1,433.469283065644,9999.44324554875,6000.31086781203
63,set1,1260.25076737027,9999.44324554875,6929.21670806382
64,set1,1872.60528819368,9999.44324554875,6985.67748693633
65,set1,7.6627,12355.0462477633,2.86625630996076
66,set1,8.10004947587421,12355.0462477633,3.27104757824291
67,set1,10.3313851159571,12355.0462477633,5.83627715365748
68,set1,23.0334402530371,12355.0462477633,39.1924282049446
69,set1,94.5048791343356,12355.0462477633,982.401821063994
70,set1,433.469283065644,12355.0462477633,6212.90300132411
71,set1,1260.25076737027,12355.0462477633,7174.72014880005
72,set1,1872.60528819368,12355.0462477633,7233.18134360179
73,set2,7.6627,16.77,0.00015735694684807
74,set2,8.10004947587421,16.77,0.000184386096399968
75,set2,10.3313851159571,16.77,0.00036939962423631
76,set2,23.0334402530371,16.77,0.00364304933868072
77,set2,94.5048791343356,16.77,0.191964995233839
78,set2,433.469283065644,16.77,2.45028327709695
79,set2,1260.25076737027,16.77,2.87086256338107
80,set2,1872.60528819368,16.77,2.88758533741472
81,set2,7.6627,17.542809336667,0.000168726078354114
82,set2,8.10004947587421,17.542809336667,0.000197708099780482
83,set2,10.3313851159571,17.542809336667,0.000396088963285832
84,set2,23.0334402530371,17.542809336667,0.0039062617855672
85,set2,94.5048791343356,17.542809336667,0.205834578490801
86,set2,433.469283065644,17.542809336667,2.62731767794403
87,set2,1260.25076737027,17.542809336667,3.07828406381454
88,set2,1872.60528819368,17.542809336667,3.09621506805945
89,set2,7.6627,21.5090568202478,0.000231333982049988
90,set2,8.10004947587421,21.5090568202478,0.000271070141924152
91,set2,10.3313851159571,21.5090568202478,0.00054306268489603
92,set2,23.0334402530371,21.5090568202478,0.0053557286615079
93,set2,94.5048791343356,21.5090568202478,0.282212051334012
94,set2,433.469283065644,21.5090568202478,3.60221648294063
95,set2,1260.25076737027,21.5090568202478,4.22051953859019
96,set2,1872.60528819368,21.5090568202478,4.2451040643173
97,set2,7.6627,46.3759494590185,0.000759554030398051
98,set2,8.10004947587421,46.3759494590185,0.000890022369366255
99,set2,10.3313851159571,46.3759494590185,0.00178307331856862
100,set2,23.0334402530371,46.3759494590185,0.0175848150562145
101,set2,94.5048791343356,46.3759494590185,0.926605331037492
102,set2,433.469283065644,46.3759494590185,11.827393553415
103,set2,1260.25076737027,46.3759494590185,13.8575085143228
104,set2,1872.60528819368,46.3759494590185,13.9382284994974
