I,set1,set2,set3,set4,set5,set6
1,0.0040190208,3.75423068068462,4.24852306985302,2.4125207845514,4.65379831297615,1.99001508542859,3.24982311477814
2,0.00636971870627962,3.71378089325513,4.18427969649922,2.38445060868498,4.57238533733212,1.98096619067875,3.17383366959133
3,0.0100953238154748,3.63919991869477,4.07925447269422,2.33630679769001,4.44483027477415,1.96240764721271,3.0683481629538
4,0.0160000099908365,3.50551201386634,3.91228309689086,2.25579170599528,4.25054085081608,1.92493673169194,2.92570747936038
5,0.0253583069137866,3.27756107974734,3.6582547794469,2.12665796871917,3.96696266755352,1.8516159636153,2.73951433085927
6,0.040190208,2.92013001201552,3.29653284411661,1.93283263785969,3.57781719682353,1.71656387357491,2.50735899492606
7,0.0636971870627962,2.42723756765323,2.82719586729809,1.66904564579556,3.08667985644888,1.49342386203472,2.23388758372609
8,0.100953238154748,1.85560278480728,2.28658062439497,1.35413588173583,2.52833596835501,1.18352346643419,1.9325076846305
9,0.160000099908365,1.31185268249151,1.7430242745629,1.03203447404459,1.9642435131156,0.842869290654692,1.62380614720361
10,0.253583069137866,0.883875722182124,1.26631524043276,0.75067936515726,1.45835933417568,0.552495377920333,1.33041860928482
11,0.40190208,0.594516121446189,0.895813060897549,0.536849191394942,1.05091570170231,0.353981041664963,1.07077353832245
12,0.636971870627962,0.41841925420074,0.633988530274156,0.390902610819068,0.750239333414775,0.237861722365933,0.855095982137585
13,1.00953238154748,0.318030992501386,0.461154345467023,0.298450830934789,0.542373448114705,0.176040952915819,0.685172087410378
14,1.60000099908365,0.26292388994665,0.352139723814827,0.242625489559978,0.405072437376619,0.144771455604113,0.556790714431272
